minutes_watched,CLV,region_0,region_1,region_2,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8
3197,205,0,0,1,0,0,0,1,0,0,0,0
63,149,1,0,0,1,0,0,0,0,0,0,0
605,119,0,0,1,0,1,0,0,0,0,0,0
20,240,0,0,1,0,0,0,1,0,0,0,0
245,184,0,1,0,0,0,0,1,0,0,0,0
259,418,1,0,0,0,0,1,0,0,0,0,0
5456,245,1,0,0,1,0,0,0,0,0,0,0
247,177,0,1,0,0,0,1,0,0,0,0,0
160,283,1,0,0,0,0,1,0,0,0,0,0
77,295,0,1,0,1,0,0,0,0,0,0,0
231,202,1,0,0,0,0,1,0,0,0,0,0
611,149,1,0,0,0,0,0,1,0,0,0,0
5915,366,0,1,0,1,0,0,0,0,0,0,0
816,82,0,0,1,0,0,1,0,0,0,0,0
1312,269,0,0,1,0,0,1,0,0,0,0,0
28988,253,0,0,1,0,0,0,0,0,0,0,1
1319,193,1,0,0,1,0,0,0,0,0,0,0
9158,53,1,0,0,1,0,0,0,0,0,0,0
51411,449,0,0,1,0,0,1,0,0,0,0,0
2812,207,0,1,0,0,0,1,0,0,0,0,0
5811,180,0,0,1,0,0,1,0,0,0,0,0
1574,180,0,1,0,0,0,0,0,0,1,0,0
8121,269,1,0,0,0,0,0,0,0,0,0,1
399,149,0,0,1,0,0,0,1,0,0,0,0
1817,269,1,0,0,0,0,1,0,0,0,0,0
42437,285,1,0,0,0,0,1,0,0,0,0,0
5574,286,0,0,1,0,0,1,0,0,0,0,0
266,149,0,0,1,0,0,0,0,0,0,1,0
4461,287,1,0,0,1,0,0,0,0,0,0,0
3326,102,0,0,1,0,0,0,1,0,0,0,0
9410,185,0,0,1,0,0,0,0,1,0,0,0
1632,202,0,0,1,1,0,0,0,0,0,0,0
4071,149,1,0,0,0,0,0,0,0,0,1,0
14036,180,0,0,1,0,0,1,0,0,0,0,0
6438,515,0,0,1,1,0,0,0,0,0,0,0
2984,363,0,1,0,0,0,1,0,0,0,0,0
61,149,1,0,0,0,0,0,1,0,0,0,0
4499,86,0,0,1,0,1,0,0,0,0,0,0
315,149,1,0,0,0,0,0,1,0,0,0,0
2991,306,0,0,1,1,0,0,0,0,0,0,0
7761,176,0,0,1,1,0,0,0,0,0,0,0
1293,358,0,1,0,1,0,0,0,0,0,0,0
3602,269,0,0,1,1,0,0,0,0,0,0,0
2843,286,1,0,0,0,0,0,0,0,0,1,0
2646,269,1,0,0,0,0,1,0,0,0,0,0
1582,75,0,0,1,0,0,0,1,0,0,0,0
6404,528,0,0,1,1,0,0,0,0,0,0,0
8413,302,0,1,0,0,0,1,0,0,0,0,0
3492,223,0,1,0,0,0,0,0,0,0,1,0
34370,295,1,0,0,1,0,0,0,0,0,0,0
1188,147,0,0,1,1,0,0,0,0,0,0,0
611,353,1,0,0,0,0,1,0,0,0,0,0
980,359,1,0,0,0,0,0,1,0,0,0,0
1171,268,0,0,1,0,0,0,0,1,0,0,0
55380,64,1,0,0,0,0,0,0,0,0,1,0
