minutes_watched,CLV,region,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,country_region_0,country_region_1,country_region_2
3197.0,205.42,2,False,False,False,True,False,False,False,False,False,False,True
63.0,149.99,0,True,False,False,False,False,False,False,False,True,False,False
605.0,119.0,2,False,True,False,False,False,False,False,False,False,False,True
20.0,240.0,2,False,False,False,True,False,False,False,False,False,False,True
245.0,184.36,1,False,False,False,True,False,False,False,False,False,True,False
259.0,418.63,0,False,False,True,False,False,False,False,False,True,False,False
5456.0,245.17,0,True,False,False,False,False,False,False,False,True,False,False
247.0,177.98,1,False,False,True,False,False,False,False,False,False,True,False
160.0,283.44,0,False,False,True,False,False,False,False,False,True,False,False
77.0,295.97,1,True,False,False,False,False,False,False,False,False,True,False
231.0,202.88,0,False,False,True,False,False,False,False,False,True,False,False
611.0,149.99,0,False,False,False,True,False,False,False,False,True,False,False
5915.0,366.45,1,True,False,False,False,False,False,False,False,False,True,False
816.0,82.58,2,False,False,True,False,False,False,False,False,False,False,True
1312.0,269.97,2,False,False,True,False,False,False,False,False,False,False,True
28988.0,253.93,2,False,False,False,False,False,False,False,True,False,False,True
1319.0,193.63,0,True,False,False,False,False,False,False,False,True,False,False
9158.0,53.94,0,True,False,False,False,False,False,False,False,True,False,False
51411.0,449.42,2,False,False,True,False,False,False,False,False,False,False,True
2812.0,207.12,1,False,False,True,False,False,False,False,False,False,True,False
5811.0,180.17,2,False,False,True,False,False,False,False,False,False,False,True
1574.0,180.17,1,False,False,False,False,False,True,False,False,False,True,False
8121.0,269.97,0,False,False,False,False,False,False,False,True,True,False,False
399.0,149.99,2,False,False,False,True,False,False,False,False,False,False,True
1817.0,269.97,0,False,False,True,False,False,False,False,False,True,False,False
42437.0,285.76,0,False,False,True,False,False,False,False,False,True,False,False
5574.0,286.17,2,False,False,True,False,False,False,False,False,False,False,True
266.0,149.99,2,False,False,False,False,False,False,True,False,False,False,True
4461.0,287.49,0,True,False,False,False,False,False,False,False,True,False,False
3326.0,102.18,2,False,False,False,True,False,False,False,False,False,False,True
9410.0,185.98,2,False,False,False,False,True,False,False,False,False,False,True
1632.0,202.04,2,True,False,False,False,False,False,False,False,False,False,True
4071.0,149.98,0,False,False,False,False,False,False,True,False,True,False,False
14036.0,180.52,2,False,False,True,False,False,False,False,False,False,False,True
6438.0,515.24,2,True,False,False,False,False,False,False,False,False,False,True
2984.0,363.79,1,False,False,True,False,False,False,False,False,False,True,False
61.0,149.99,0,False,False,False,True,False,False,False,False,True,False,False
4499.0,86.24,2,False,True,False,False,False,False,False,False,False,False,True
315.0,149.98,0,False,False,False,True,False,False,False,False,True,False,False
2991.0,306.58,2,True,False,False,False,False,False,False,False,False,False,True
7761.0,176.98,2,True,False,False,False,False,False,False,False,False,False,True
1293.0,358.18,1,True,False,False,False,False,False,False,False,False,True,False
3602.0,269.96,2,True,False,False,False,False,False,False,False,False,False,True
2843.0,286.09,0,False,False,False,False,False,False,True,False,True,False,False
2646.0,269.97,0,False,False,True,False,False,False,False,False,True,False,False
1582.0,75.42,2,False,False,False,True,False,False,False,False,False,False,True
6404.0,528.89,2,True,False,False,False,False,False,False,False,False,False,True
8413.0,302.11,1,False,False,True,False,False,False,False,False,False,True,False
3492.0,223.22,1,False,False,False,False,False,False,True,False,False,True,False
34370.0,295.71,0,True,False,False,False,False,False,False,False,True,False,False
1188.0,147.0,2,True,False,False,False,False,False,False,False,False,False,True
611.0,353.53,0,False,False,True,False,False,False,False,False,True,False,False
980.0,359.03,0,False,False,False,True,False,False,False,False,True,False,False
1171.0,268.99,2,False,False,False,False,True,False,False,False,False,False,True
55380.0,64.8,0,False,False,False,False,False,False,True,False,True,False,False
3.0,213.61,2,False,False,False,True,False,False,False,False,False,False,True
1616.0,174.01,2,False,False,True,False,False,False,False,False,False,False,True
288.0,184.44,2,False,False,False,False,False,False,True,False,False,False,True
1465.0,270.49,0,True,False,False,False,False,False,False,False,True,False,False
6331.0,99.0,2,False,False,False,True,False,False,False,False,False,False,True
313.0,118.47,2,True,False,False,False,False,False,False,False,False,False,True
804.0,213.97,2,False,False,True,False,False,False,False,False,False,False,True
1971.0,207.55,0,False,False,True,False,False,False,False,False,True,False,False
1054.0,172.8,2,False,False,False,False,False,False,True,False,False,False,True
9138.0,245.98,2,False,False,False,True,False,False,False,False,False,False,True
2128.0,333.9,0,False,False,True,False,False,False,False,False,True,False,False
3875.0,331.99,0,False,False,True,False,False,False,False,False,True,False,False
12436.0,84.96,2,False,False,True,False,False,False,False,False,False,False,True
3564.0,62.58,2,True,False,False,False,False,False,False,False,False,False,True
2571.0,36.0,0,False,False,False,False,False,False,False,True,True,False,False
214.0,119.0,0,False,False,True,False,False,False,False,False,True,False,False
10616.0,350.09,2,False,False,False,False,False,False,True,False,False,False,True
55539.0,313.2,2,False,False,True,False,False,False,False,False,False,False,True
11578.0,285.36,2,False,False,True,False,False,False,False,False,False,False,True
766.0,177.41,2,True,False,False,False,False,False,False,False,False,False,True
2912.0,269.97,0,False,False,False,False,False,True,False,False,True,False,False
3229.0,62.58,2,True,False,False,False,False,False,False,False,False,False,True
37167.0,388.62,2,False,False,True,False,False,False,False,False,False,False,True
59.0,129.6,2,False,False,False,True,False,False,False,False,False,False,True
1390.0,46.0,2,False,False,False,True,False,False,False,False,False,False,True
2778.0,227.78,1,False,False,False,True,False,False,False,False,False,True,False
613.0,184.44,0,True,False,False,False,False,False,False,False,True,False,False
9005.0,285.36,0,True,False,False,False,False,False,False,False,True,False,False
4315.0,149.99,2,False,False,True,False,False,False,False,False,False,False,True
262.0,174.0,2,False,False,False,True,False,False,False,False,False,False,True
4308.0,184.45,2,False,False,True,False,False,False,False,False,False,False,True
89131.0,496.08,0,False,False,False,False,False,False,True,False,True,False,False
2327.0,330.6,2,False,False,True,False,False,False,False,False,False,False,True
1602.0,184.43,2,False,False,False,False,False,False,True,False,False,False,True
671.0,269.76,0,False,False,False,False,False,True,False,False,True,False,False
2408.0,82.04,2,False,True,False,False,False,False,False,False,False,False,True
6937.0,174.0,2,False,False,False,False,False,False,True,False,False,False,True
94.0,149.99,2,True,False,False,False,False,False,False,False,False,False,True
5554.0,484.69,1,False,False,True,False,False,False,False,False,False,True,False
228.0,64.8,0,False,False,False,False,False,False,True,False,True,False,False
7270.0,302.48,0,False,False,True,False,False,False,False,False,True,False,False
126.0,91.5,2,False,False,True,False,False,False,False,False,False,False,True
6012.0,207.06,2,False,False,False,False,False,False,True,False,False,False,True
6197.0,169.04,1,True,False,False,False,False,False,False,False,False,True,False
4139.0,331.99,2,False,False,True,False,False,False,False,False,False,False,True
828.0,233.63,1,True,False,False,False,False,False,False,False,False,True,False
2076.0,36.0,2,False,False,True,False,False,False,False,False,False,False,True
2967.0,62.58,2,False,False,True,False,False,False,False,False,False,False,True
115.0,150.64,0,True,False,False,False,False,False,False,False,True,False,False
2719.0,187.57,2,False,False,True,False,False,False,False,False,False,False,True
1166.0,62.58,2,True,False,False,False,False,False,False,False,False,False,True
2432.0,149.99,2,True,False,False,False,False,False,False,False,False,False,True
6261.0,245.98,2,True,False,False,False,False,False,False,False,False,False,True
22927.0,245.98,0,False,False,True,False,False,False,False,False,True,False,False
5912.0,279.59,2,True,False,False,False,False,False,False,False,False,False,True
5935.0,245.98,2,False,False,True,False,False,False,False,False,False,False,True
25.0,149.68,0,True,False,False,False,False,False,False,False,True,False,False
15163.0,149.99,2,True,False,False,False,False,False,False,False,False,False,True
4199.0,149.99,2,False,False,True,False,False,False,False,False,False,False,True
2334.0,248.43,0,False,True,False,False,False,False,False,False,True,False,False
19502.0,171.58,2,True,False,False,False,False,False,False,False,False,False,True
4087.0,184.44,0,True,False,False,False,False,False,False,False,True,False,False
302.0,150.0,2,False,False,True,False,False,False,False,False,False,False,True
6853.0,149.99,2,False,False,True,False,False,False,False,False,False,False,True
3194.0,62.58,2,False,False,False,False,False,False,True,False,False,False,True
